date,open,high,low,close,volume,Name,main_news,tagged_news
2013-04-03,407.1367,407.5071,400.7343,403.5041,3473233,GOOGL,"In Search, Google Still Leads: Google still holds by far the largest share of traditional search engine traffic.",Tip of the Week: Keeping Web Browsers in Sync: Several popular browsers can keep open Web pages in sync across computers and mobile devices.
2013-04-04,402.5271,403.2779,396.0457,397.9325,4889914,GOOGL,"As Web Search Goes Mobile, Competitors Chip at Google’s Lead: Though Google is the undisputed king of search, alternative services are chipping into its share of the market.","How to Get Rich From the Eastward Tilt: The next Steve Jobs may well be living in a place like Pakistan, Turkey or Nigeria, thanks to a surge in entrepreneurship that is a response to the peril and promise of a globalized economy."
2013-04-05,393.423,393.8885,388.5882,391.9165,6860927,GOOGL,"Q&A: Cleaning Up Outdated Gmail Contacts: If Gmail keeps suggesting outdated addresses when you address a new message, it may be time to clean up your Gmail contacts list.",Engineering Serendipity: Companies that depend on innovation are redesigning work spaces to encourage a certain kind of accident: the human collision.
2013-04-08,389.7644,390.1648,384.5842,387.8124,5658378,GOOGL,"In Europe, New Protest Over Google: European antitrust officials have received a formal complaint from Google’s rivals about its Android mobile operating system.",
2013-04-09,388.1377,392.2669,386.9416,389.2138,4310166,GOOGL,"World’s Tech Companies Look to Brussels to Resolve Antitrust Complaints: As the European competition chief appears near the end of settlement talks with Google over its search business, he must decide whether to take up a new complaint about its mobile business.",
2013-04-10,391.8515,396.5712,388.38800000000003,395.4851,3953171,GOOGL,Subway on Way? Maps Tell You: Google Maps has added information on public transportation in several cities.,
2013-04-11,396.8364,396.9466,392.42199999999997,395.5902,4053279,GOOGL,,
2013-04-12,396.39099999999996,396.4471,391.8565,395.42,3269389,GOOGL,,
2013-04-15,393.36800000000005,398.8985,388.8985,391.356,4900346,GOOGL,Europeans Reach Deal With Google on Searches: Google has for the first time agreed to legally binding changes to its search results after an antitrust investigation by European regulators.,
2013-04-16,393.6883,398.398,392.352,397.0817,3480468,GOOGL,"Google Emulates Apple in Restricting Apps for Glass: In a departure from previous products like Android, Google has set extensive limits on the apps developed for its Internet-connected glasses.",
2013-04-17,393.7684,395.8179,389.4391,391.6713,4069487,GOOGL,,
2013-04-18,393.0677,393.2929,381.0107,383.34,6601455,GOOGL,"Google, Soothing Investors, Plays Up Its Innovations: Analysts pointed to Google’s mobile business as a weakness because consumers are rapidly shifting from computer use to mobile devices.","Tip of the Week: Sending Huge E-Mail Attachments: Thanks to a combination of Web-mail and cloud-storage services, sending large files as attachments is easier these days."
2013-04-19,384.9646,402.1217,383.5131,400.3349,11593628,GOOGL,,
2013-04-22,400.7003,402.381,387.8875,400.4571,5760454,GOOGL,"Germany Fines Google Over Data Collection: The 145,000-euro levy, the equivalent of about $189,000, was called woefully inadequate to assure compliance by a company with $10.7 billion in 2012 profit.",India Considers Banning Pornography as Reported Sexual Assault Rises: The Supreme Court is considering a petition that would make even watching pornographic material a non-bailable offense.
2013-04-23,400.9005,408.1578,400.5802,404.3539,4579994,GOOGL,"Daily Report: Europe’s Biggest Privacy Fine Is Pocket Change to Google: German regulators fined Google $189,225, a tiny fraction of its $10.7 billion profit last year, for violating privacy laws with its Street View project, Claire Cain Miller reports in The New York Times.",Q&A: Linking a Samsung Tablet to a TV: Samsung’s Galaxy Tab 2 tablets need extra equipment to play video on a television screen.
2013-04-24,404.4591,409.409,404.404,407.1337,3654448,GOOGL,,"The Future of Driving: Driverless vehicles should increase human productivity but will also increase the number of cars on the road, an economist writes."
2013-04-25,408.5331,408.6432,404.2188,404.9545,3980422,GOOGL,Europe Nears Antitrust Deal With Google Over Web Searches: The European Commission said it had begun “market testing” intended to determine whether the proposed remedies address complaints that Google favors its own products in search results.,
2013-04-26,404.2038,404.2739,398.6883,401.1107,4970304,GOOGL,"Google Search Terms Can Predict Stock Market, Study Finds: A new study found that by tracking certain search terms in Google Trends, researchers could predict whether the Dow Jones industrial average would rise or fall the following week.",
2013-04-29,402.0266,411.7613,401.9015,409.9395,4595912,GOOGL,"TimesTalks | ‘New Digital Age’: Preview: Google’s Eric Schmidt and Jared Cohen speak with The Times’s David Carr about their book, which examines the impact of technology on society in the future.",‘The New Digital Age’: Power Laws: Part 11: Schmidt and Cohen discuss the core scarcity of attention on the web and the challenges content creators face in finding an audience.
2013-04-30,409.9095,414.2338,409.2488,412.6973,4608663,GOOGL,,
2013-05-01,412.0416,412.7724,408.5882,410.6252,2906961,GOOGL,A Google Duo and a Media Maven Explore a Hyper-Connected Planet: A brisk chat between Googlers and a media maven about the emerging Knowosphere.,
2013-05-02,410.4601,417.6923,409.9345,415.2198,4032460,GOOGL,Lending Web Site Gains a Shareholder in Google: Lending Club plans to announce that Google led a $125 million deal to buy a stake in the company from existing investors.,Corporate Jet Center Exposes Silicon Valley’s Class Divide: A technology boom that once created middle-class jobs and lifted the overall economy now fuels a growing gap between the very rich and everyone else.
2013-05-03,418.8985,423.8234,418.418,423.2829,5019702,GOOGL,"Shine Starts to Wear Off a Little for Google Glass: Let the backlash begin for Google Glass amid privacy concerns and a fear by the mainstream that the new, high-tech glasses are just too geeky.",
2013-05-06,424.5541,431.3559,424.5541,431.2058,4278140,GOOGL,"Europe Rules Against Patent Move by Google’s Motorola Unit: The European Union on Monday made a preliminary antitrust finding against Motorola Mobility, saying it had abused its dominance in wireless patents by seeking an injunction against Apple in Germany.",YouTube Is Said to Plan a Subscription Option: The Web site was expected this week to announce a plan to let some video makers convert fans into paying customers.
2013-05-07,431.9365,432.3669,425.7603,429.0436,3914058,GOOGL,"How to Tell Google Now to Stop Peeking: The Google Now app anticipates what information you might want and puts it on your phone screen before you ask for it, which can seem wonderfully prescient or intrusively creepy, but there is an easy adjustment if you don’t like the feeling that G...",Exploring Environmental Issues and Communication With Students in Japan: High school students in Japan discuss journalism and the environment with a blogger in New York.
2013-05-08,428.9285,437.3769,426.8815,437.2518,4930476,GOOGL,Google’s Aggregator Gives Way to an Heir: Google Reader is scheduled to end July 1. And Feedly.com is just the newsreader to replace it.,
2013-05-09,435.8554,440.2698,434.5491,436.1757,4396519,GOOGL,,
2013-05-10,438.0927,440.7103,436.5161,440.5551,3791566,GOOGL,,
2013-05-13,439.8844,441.6762,437.1272,439.2038,2893167,GOOGL,"Google’s Offer to Europe: The company’s proposal is a good start, but policy makers must remain watchful so Google does not abuse its power and limit competition.",
2013-05-14,439.1888,444.7893,439.0086,443.9936,3154697,GOOGL,"Google Expected to Start a Competitor to Spotify: The service is expected to be announced as early as Wednesday, and reflects agreements the company has made with the three major music labels.",
2013-05-15,448.1978,458.6482,447.457,458.4029,7962426,GOOGL,"Photos Take the Spotlight in Updates to Google’s Social Network: Google is using its expertise in algorithms to offer users better social sharing tools through its Google Plus network. The company’s software will now select the best photos and fix their flaws, offer more links to topics mentioned in posts by me...","Drones Take Off in Silicon Valley: Even before American skies are open to commercially operated drones, a drone start-up called Airware plans to announce Wednesday that it has raised $10.7 million in a financing round led by the venture capital firm Andreessen Horowitz."
2013-05-16,459.9595,460.4499,451.45599999999996,452.3869,6410573,GOOGL,"Google Escalates the Competition in Map Services: The new service creates real-time, personalized maps and incorporates 3-dimensional images from inside businesses and from Google Earth.",Faster Broadband Speeds: The View From the F.C.C.: The chairman of the Federal Communications Commission describes its efforts to promote broadband.
2013-05-17,455.465,457.2012,450.7103,455.0446,5578028,GOOGL,Lawmakers Show Concerns About Google’s New Glasses: Members of a Congressional caucus want Google to explain how it will protect privacy with the introduction of Google Glass.,
2013-05-20,452.9525,460.7603,452.9525,454.7193,4540849,GOOGL,,"Hackers From China Resume Attacks on U.S. Targets: A cyberunit of the People’s Liberation Army in China appears to have resumed its attacks using different techniques, hitting several of the same victims it has gone after in the past."
2013-05-21,454.464,456.2858,449.2538,453.9385,3961409,GOOGL,,Q&A: Protecting Your Mail Account: A few simple precautions can help keep your e-mail account safer from intruders.
2013-05-22,451.7313,455.1097,443.8834,445.1547,5116072,GOOGL,,
