,open,high,low,close,volume,Name
2018-01-18,115.67,115.86,113.66,115.53,920900,AAP
2018-01-19,116.2443,117.51,115.21,117.02,1169900,AAP
2018-01-22,116.88,118.19,115.9,118.03,1612100,AAP
2018-01-23,117.74,119.14,116.6,119.1,1277000,AAP
2018-01-24,119.26,121.24,118.26,120.99,1198600,AAP
2018-01-25,121.12,121.34,119.63,120.92,1250700,AAP
2018-01-26,123.34,123.9,121.66,123.64,1488400,AAP
2018-01-29,123.5243,123.63,122.72,122.89,1403700,AAP
2018-01-30,121.57,122.7,117.575,119.27,1889700,AAP
2018-01-31,119.86,120.47,115.8297,116.99,1235700,AAP
2018-02-01,116.2431,118.83,115.83,117.29,760600,AAP
2018-02-02,115.92,117.18,113.125,113.93,1092300,AAP
2018-02-05,113.05,114.97,109.81,109.86,1281600,AAP
2018-02-06,108.28,113.11,106.745,112.2,1240100,AAP
2018-02-07,112.09,114.58,109.9,109.93,2163500,AAP
2018-02-08,109.93,115.35,109.3,109.63,1549900,AAP
2018-02-09,110.39,110.45,103.34,109.14,1577900,AAP
2018-02-12,109.795,110.8,108.0547,109.48,1181400,AAP
2018-02-13,109.17,109.99,105.961,106.22,1392100,AAP
2018-02-14,105.5,110.0,105.26,109.02,1106700,AAP
2018-02-15,109.23,110.28,107.572,108.78,818400,AAP
2018-02-16,108.72,109.3421,105.776,107.57,946700,AAP
2018-02-20,107.4,108.38,103.72,105.35,2369200,AAP
2018-02-21,116.96,119.2962,113.23,114.0,5545200,AAP
2018-02-22,115.1,115.5,110.2,110.49,1465800,AAP
2018-02-23,111.15,117.07,111.0693,116.32,1504200,AAP
2018-02-26,116.5,117.74,112.08,114.85,1409600,AAP
2018-02-27,113.26,113.91,108.9,109.8,2161000,AAP
2018-02-28,110.7068,116.11,109.68,114.25,1901700,AAP
2018-03-01,114.24,117.89,113.43,117.51,2062100,AAP
2018-03-02,116.67,116.79,113.12,116.07,1462100,AAP
2018-03-05,115.45,117.55,115.12,116.36,1088500,AAP
2018-03-06,116.54,119.04,115.13,118.59,1003700,AAP
2018-03-07,117.43,118.31,115.8,116.77,708600,AAP
2018-03-08,117.33,117.33,114.54,115.75,672200,AAP
2018-03-09,116.44,118.94,114.4,118.86,1088300,AAP
2018-03-12,118.56,119.25,117.21,118.41,802800,AAP
2018-03-13,118.75,120.1,117.26,119.0,942500,AAP
2018-03-14,119.16,119.875,116.55,117.06,681800,AAP
2018-03-15,117.54,118.33,115.47,117.1,672600,AAP
2018-03-16,116.93,117.81,115.76,116.63,1354400,AAP
2018-03-19,116.79,117.56,114.7,115.87,813000,AAP
2018-03-20,116.39,116.69,113.74,114.25,636000,AAP
2018-03-21,114.66,116.29,114.24,115.24,689600,AAP
2018-03-22,114.02,115.14,111.63,111.71,1042400,AAP
2018-03-23,112.41,113.26,110.34,110.84,1085900,AAP
2018-03-26,112.49,115.07,111.8748,114.77,1008800,AAP
2018-03-27,114.58,117.45,113.29,115.01,1402700,AAP
2018-03-28,115.28,119.42,114.08,115.98,1047500,AAP
2018-03-29,116.34,119.22,115.4,118.55,780800,AAP
2018-04-02,118.61,119.18,110.51,111.93,1581300,AAP
2018-04-03,112.5,113.88,108.95,111.91,1504200,AAP
2018-04-04,110.09,114.98,109.82,114.48,851900,AAP
2018-04-05,115.46,116.83,113.52,116.39,873500,AAP
2018-04-06,115.63,116.37,110.77,111.91,1291200,AAP
2018-04-09,112.94,114.89,110.19,110.35,829500,AAP
2018-04-10,111.14,112.68,109.53,112.14,926800,AAP
2018-04-11,111.16,112.315,110.145,110.93,577600,AAP
2018-04-12,111.46,112.59,110.3652,110.57,850700,AAP
2018-04-13,111.14,112.4,105.39,106.61,1530400,AAP
2018-04-16,106.93,108.03,105.02,106.45,971500,AAP
2018-04-17,108.75,109.93,106.78,108.2,1254300,AAP
2018-04-18,108.85,109.72,106.55,107.39,1303600,AAP
2018-04-19,107.55,108.21,103.49,105.18,1516400,AAP
2018-04-20,105.28,106.45,102.9,103.76,1064500,AAP
2018-04-23,103.26,105.6,102.15,105.52,1029500,AAP
2018-04-24,105.76,107.83,105.2,106.93,1162900,AAP
2018-04-25,106.819,109.31,106.44,107.82,1031300,AAP
2018-04-26,112.02,115.12,110.08,113.18,1672500,AAP
2018-04-27,113.15,116.61,112.65,116.34,1158600,AAP
2018-04-30,116.46,116.68,113.86,114.45,1057400,AAP
2018-05-01,113.86,115.7,113.09,115.58,806900,AAP
2018-05-02,115.51,117.085,113.8,115.9,1113000,AAP
2018-05-03,115.58,116.611,114.54,115.43,711400,AAP
2018-05-04,115.0021,117.73,113.84,116.67,860800,AAP
2018-05-07,116.99,117.5,115.09,116.14,672500,AAP
2018-05-08,118.81,118.97,116.31,116.8,1084900,AAP
2018-05-09,116.87,118.14,111.86,117.99,1476400,AAP
2018-05-10,118.25,118.59,116.78,118.23,594200,AAP
2018-05-11,118.31,122.3,117.59,119.94,1354700,AAP
2018-05-14,119.8702,121.9,119.26,121.61,939200,AAP
2018-05-15,121.29,121.44,118.78,119.92,878100,AAP
2018-05-16,120.64,121.5,118.66,119.03,855200,AAP
2018-05-17,119.14,120.58,118.08,119.79,1054900,AAP
2018-05-18,119.37,119.8677,118.21,118.32,1087000,AAP
2018-05-21,118.4,119.6416,116.38,119.15,1482900,AAP
2018-05-22,123.55,125.89,113.61,115.33,3940200,AAP
2018-05-23,115.82,123.63,115.63,123.25,1964800,AAP
2018-05-24,123.32,126.0,120.96,125.17,1270200,AAP
2018-05-25,124.6846,126.24,124.41,124.91,1173100,AAP
2018-05-29,124.36,124.99,123.06,123.96,1163300,AAP
2018-05-30,124.0,128.676,123.52,128.53,1223900,AAP
2018-05-31,128.34,129.41,126.0,128.62,1535200,AAP
2018-06-01,128.84,129.67,127.261,128.34,993000,AAP
2018-06-04,129.0,131.98,128.99,129.91,1008600,AAP
