date,open,high,low,close,volume,main_news
2013-05-07,431.9365,432.3669,425.7603,429.0436,3914058,"How to Tell Google Now to Stop Peeking: The Google Now app anticipates what information you might want and puts it on your phone screen before you ask for it, which can seem wonderfully prescient or intrusively creepy, but there is an easy adjustment if you don’t like the feeling that G..."
2013-05-08,428.9285,437.3769,426.8815,437.2518,4930476,Google’s Aggregator Gives Way to an Heir: Google Reader is scheduled to end July 1. And Feedly.com is just the newsreader to replace it.
2013-05-09,435.8554,440.2698,434.5491,436.1757,4396519,
2013-05-10,438.0927,440.7103,436.5161,440.5551,3791566,
2013-05-13,439.8844,441.6762,437.1272,439.2038,2893167,"Google’s Offer to Europe: The company’s proposal is a good start, but policy makers must remain watchful so Google does not abuse its power and limit competition."
2013-05-14,439.1888,444.7893,439.0086,443.9936,3154697,"Google Expected to Start a Competitor to Spotify: The service is expected to be announced as early as Wednesday, and reflects agreements the company has made with the three major music labels."
2013-05-15,448.1978,458.6482,447.457,458.4029,7962426,"Photos Take the Spotlight in Updates to Google’s Social Network: Google is using its expertise in algorithms to offer users better social sharing tools through its Google Plus network. The company’s software will now select the best photos and fix their flaws, offer more links to topics mentioned in posts by me..."
2013-05-16,459.9595,460.4499,451.456,452.3869,6410573,"Google Escalates the Competition in Map Services: The new service creates real-time, personalized maps and incorporates 3-dimensional images from inside businesses and from Google Earth."
2013-05-17,455.465,457.2012,450.7103,455.0446,5578028,Lawmakers Show Concerns About Google’s New Glasses: Members of a Congressional caucus want Google to explain how it will protect privacy with the introduction of Google Glass.
2013-05-20,452.9525,460.7603,452.9525,454.7193,4540849,
2013-05-21,454.464,456.2858,449.2538,453.9385,3961409,
2013-05-22,451.7313,455.1097,443.8834,445.1547,5116072,
2013-05-23,438.9385,445.425,437.437,441.8364,4545347,"Tax Protest in Britain Focuses on Google: A group of drama students is organizing a Google Free Day on Friday, highlighting what they say is the minimal share of its revenue that the search giant pays in taxes, as well as the increasing dependence on its service."
2013-05-24,438.0676,439.8494,435.9405,437.0967,4588931,"Is Google Glass Dangerous?: Technology like Google Glass and Siri may be hands-free, but it still demands your attention."
2013-05-28,442.1918,446.5161,440.6402,441.0756,4510310,"Europe Warns Google It Could Face Further Concessions: Joaquín Almunia, the European Union competition commissioner, said that Google could still face formal charges for violating European competition law."
2013-05-29,438.2929,439.434,432.5771,434.5892,4022272,"How to Help Google Plus Help Your Photos: In the long list of improvements rolled out during Google’s developer conference last week were many improvements to its photo editing and sharing tools. To get the most out of your photos on Google Plus, here is what you need to know."
2013-05-30,435.395,439.8895,433.6382,435.8154,4237137,"Motorola Plans to Make Smartphone in Texas: The handset maker, owned by Google, says its next phone, called the Moto X, will be manufactured at an old Nokia plant near Fort Worth that will be reopened by August."
2013-05-31,434.4941,438.9385,434.1938,436.0446,3934779,"Big Question for Wearable Computing: Is It Ready for Consumers?: While Apple and Google agree that the future of computers will be wearable, they disagree about which kind of computers people will actually want to wear."
2013-06-03,436.9365,437.4219,427.9375,434.2488,4946046,"Google’s Washington Insider: Susan Molinari, a brassy, well-connected New York Republican who served seven years in the House, now works to broaden Google’s support beyond Silicon Valley Democrats."
