,open,high,low,close,volume,Name
2017-03-17,190.82,192.36,190.35,192.36,4228100,MMM
2017-03-20,192.52,193.5039,192.28,193.01,2085600,MMM
2017-03-21,193.49,193.49,191.51,192.13,1895100,MMM
2017-03-22,192.3,192.88,190.46,192.22,1627300,MMM
2017-03-23,192.12,192.97,191.2368,192.14,1482000,MMM
2017-03-24,192.12,192.62,190.901,191.51,1435400,MMM
2017-03-27,190.7,191.0,189.16,190.43,1984600,MMM
2017-03-28,189.9074,191.49,189.6,190.99,2330200,MMM
2017-03-29,190.59,191.28,190.26,190.68,1692200,MMM
2017-03-30,190.74,191.49,190.1,191.28,1835400,MMM
2017-03-31,191.3,192.4,190.99,191.33,1730000,MMM
2017-04-03,191.87,192.17,189.95,190.72,1546700,MMM
2017-04-04,190.57,190.98,189.78,190.19,1349900,MMM
2017-04-05,190.7,192.42,190.04,190.24,1448700,MMM
2017-04-06,190.41,191.02,189.5,189.89,1627400,MMM
2017-04-07,190.03,190.56,189.52,189.99,1025200,MMM
2017-04-10,190.16,190.5155,189.31,189.71,1682700,MMM
2017-04-11,189.13,190.09,188.99,190.07,1459600,MMM
2017-04-12,190.31,190.49,189.4,189.7,1416100,MMM
2017-04-13,189.25,189.86,188.62,188.65,1274400,MMM
2017-04-17,189.31,190.36,189.29,190.36,1543600,MMM
2017-04-18,189.7645,190.84,189.505,190.22,1176900,MMM
2017-04-19,190.8,191.13,189.52,189.83,1340400,MMM
2017-04-20,190.02,192.11,189.904,191.16,1748200,MMM
2017-04-21,191.15,191.62,190.5879,191.5,2584200,MMM
2017-04-24,193.0,194.45,192.93,194.23,2709600,MMM
2017-04-25,193.99,195.61,192.36,195.13,4182200,MMM
2017-04-26,195.7,196.9,194.99,195.0,2641200,MMM
2017-04-27,195.43,196.54,195.11,196.11,1770200,MMM
2017-04-28,196.15,197.12,195.54,195.83,2467100,MMM
2017-05-01,195.5,195.73,194.471,194.81,1498500,MMM
2017-05-02,195.16,196.53,194.58,196.53,2467200,MMM
2017-05-03,196.6,197.87,195.71,197.63,2339500,MMM
2017-05-04,198.3,199.54,197.76,199.51,2320800,MMM
2017-05-05,199.67,199.9,198.98,199.4,1688600,MMM
2017-05-08,198.84,199.15,198.3,198.65,1575900,MMM
2017-05-09,199.36,199.36,197.53,197.96,1747800,MMM
2017-05-10,197.37,197.6222,196.53,196.64,2247700,MMM
2017-05-11,196.04,196.94,195.26,196.75,1705000,MMM
2017-05-12,195.9,197.12,195.86,196.57,1323100,MMM
2017-05-15,196.67,197.74,196.23,197.63,1474500,MMM
2017-05-16,197.48,197.94,196.86,197.91,1183600,MMM
2017-05-17,195.39,195.91,194.72,194.84,1881800,MMM
2017-05-18,194.5,195.82,193.54,195.24,1929000,MMM
2017-05-19,196.3,196.3,194.45,195.8,1894700,MMM
2017-05-22,196.35,198.672,196.35,198.51,1835900,MMM
2017-05-23,198.73,198.97,197.52,197.73,1514200,MMM
2017-05-24,198.49,198.53,197.28,197.49,1206400,MMM
2017-05-25,198.41,199.61,197.75,199.54,1508000,MMM
2017-05-26,199.14,200.69,198.972,200.67,1410600,MMM
2017-05-30,200.31,203.03,199.96,202.44,2171100,MMM
2017-05-31,202.73,204.47,202.27,204.47,3096800,MMM
2017-06-01,204.25,204.9,203.68,204.35,2352700,MMM
2017-06-02,205.06,207.39,204.79,206.7,1831900,MMM
2017-06-05,206.77,207.33,206.22,206.22,1253100,MMM
2017-06-06,206.01,206.66,205.41,205.41,1458800,MMM
2017-06-07,205.7191,205.87,204.1,205.01,1885600,MMM
2017-06-08,204.84,206.03,204.09,205.94,2451300,MMM
2017-06-09,206.0093,206.97,205.64,206.93,1893100,MMM
2017-06-12,207.06,208.42,205.5,207.39,2388200,MMM
2017-06-13,207.58,209.665,207.5702,209.11,1688800,MMM
2017-06-14,209.78,210.785,209.53,210.01,1585300,MMM
2017-06-15,209.5,211.32,209.44,211.29,1594100,MMM
2017-06-16,211.73,213.46,211.44,213.24,3420600,MMM
2017-06-19,214.0,214.0,212.7,213.36,1667600,MMM
2017-06-20,213.45,214.57,213.05,213.36,1531200,MMM
2017-06-21,214.02,214.02,212.09,212.86,1812900,MMM
2017-06-22,212.73,213.12,212.09,212.22,1400400,MMM
2017-06-23,212.0,213.17,211.71,212.9,1584900,MMM
2017-06-26,212.79,213.47,212.31,212.61,1352100,MMM
2017-06-27,212.0,212.5,209.3846,209.78,2240200,MMM
2017-06-28,210.78,211.175,210.09,210.62,1542900,MMM
2017-06-29,211.05,211.05,207.0823,207.85,1809900,MMM
2017-06-30,209.9419,209.91,207.85,208.19,1770000,MMM
2017-07-03,209.1642,210.34,208.75,209.83,1040200,MMM
2017-07-05,210.0,210.24,209.41,209.76,1065300,MMM
2017-07-06,209.05,209.72,207.89,208.02,1189900,MMM
2017-07-07,208.5,210.15,208.045,209.59,1531000,MMM
2017-07-10,209.6,211.74,208.99,210.49,1308400,MMM
2017-07-11,210.41,211.2,208.0,209.66,1268100,MMM
2017-07-12,210.91,212.78,210.27,211.3,1447900,MMM
2017-07-13,211.2,212.0,210.18,211.09,1138800,MMM
2017-07-14,211.52,212.24,210.63,211.77,1062000,MMM
2017-07-17,212.2,212.2,210.59,211.68,1311300,MMM
2017-07-18,210.68,211.52,210.3,211.31,1562600,MMM
2017-07-19,211.51,212.105,211.17,212.1,825300,MMM
2017-07-20,212.21,213.41,212.06,212.45,1347400,MMM
2017-07-21,211.65,211.84,209.48,211.16,2246200,MMM
2017-07-24,211.2,211.659,210.0,210.0,2165200,MMM
2017-07-25,202.65,204.5,197.173,199.39,6593000,MMM
2017-07-26,200.45,201.15,198.55,199.03,2922100,MMM
2017-07-27,199.14,200.5455,197.67,200.05,2174500,MMM
2017-07-28,200.79,201.04,198.69,199.72,1488000,MMM
2017-07-31,200.0,201.66,199.81,201.17,1833600,MMM
2017-08-01,202.29,203.31,201.76,203.18,2015100,MMM
2017-08-02,203.19,205.6,202.8295,205.41,2029600,MMM
2017-08-03,205.91,207.64,205.12,207.62,2054200,MMM
2017-08-04,207.95,208.61,206.11,207.65,1522700,MMM
2017-08-07,207.9,208.4,206.68,207.44,1172600,MMM
2017-08-08,206.83,207.89,205.699,206.43,1856300,MMM
2017-08-09,206.69,207.91,205.59,206.48,1622200,MMM
2017-08-10,205.62,207.16,205.18,206.23,1571500,MMM
2017-08-11,206.85,206.85,205.63,205.98,1452800,MMM
2017-08-14,206.66,207.63,206.07,207.37,1264400,MMM
2017-08-15,207.0,207.84,206.51,207.18,1048500,MMM
2017-08-16,207.21,208.63,206.615,207.92,1704300,MMM
2017-08-17,207.79,208.122,205.28,205.35,1396500,MMM
2017-08-18,205.35,205.63,203.45,203.53,1838600,MMM
2017-08-21,203.8,204.9,203.01,204.55,1567600,MMM
2017-08-22,205.2,205.86,204.63,205.46,2091200,MMM
2017-08-23,204.05,204.1,202.32,202.67,1267300,MMM
2017-08-24,203.89,203.89,201.96,202.12,1230800,MMM
